Label,Category,Biller,Messages
Credit,Wallet ,Paytm,Rs. 37  received from XXX (900018467 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 766  received from XXX (900028145 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 308  received from XXX (900014604 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 365  received from XXX (900021726 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 698  received from XXX (900023811 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 236  received from XXX (900027644 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 576  received from XXX (900003035 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 583  received from XXX (900023805 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 668  received from XXX (900012623 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 309  received from XXX (900032439 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 144  received from XXX (900031115 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 805  received from XXX (900028745 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 161  received from XXX (900013290 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 733  received from XXX (900001150 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 733  received from XXX (900012287 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
Credit,Wallet ,Paytm,Rs. 486  received from XXX (900024946 @paytm) in your Paytm Payments Bank a/c 91XX8102. UPI Ref: 007322743179
